RecordDate,装配式建筑,分散染料,生物医药,水利,工业互联网,微信小程序,网络游戏,国产航母,文化传媒,通用航空,金改,参股万达商业,空铁WIFI,二胎概念,杭州亚运会,美丽中国,赛马概念,两桶油改革,智能穿戴,电子竞技,人工智能,摘帽,智能音箱,新疆振兴,建筑节能,超导,福建自贸区,高铁,航运,人脸识别,粤港澳大湾区,锂电池,工业4.0,啤酒,参股新三板,北汽新能源,电子发票,雄安新区,特斯拉,海工装备,健康中国,国产软件,供应链金融,基因测序,新股与次新股,燃料乙醇,语音技术,腾讯概念,上海国资改革,芯片概念,苹果概念,卫星导航,PPP概念,土地流转,核电,智慧城市,蓝宝石,地下管网,中韩自贸区,,特钢,量子通信,氟化工,百度概念,在线教育,宽带中国,央企国资改革,白酒,固废处理,小金属,智能电网,区块链,超级品牌,自由贸易港,富士康概念,物流电商平台,智能交通,生态农业,举牌,宁德时代概念,细胞免疫治疗,无线充电,军工,参股券商,页岩气,农村电商,金融IC,石墨烯,风电,参股360,送转填权,医疗器械,油品升级,物联网,新材料概念,安防,油品改革,网络安全,煤化工,尾气治理,黄金,深圳国资改革,证金持股,迪士尼,互联网彩票,参股保险,民营医院,节能照明,乳业,车联网,跨境电商,食品安全,特色小镇,特高压,ST板块,智能医疗,天津自贸区,二维码识别,电子商务,MSCI概念,手机游戏,虚拟现实,职业教育,稀土永磁,大飞机,高端装备,移动支付,沪股通,云计算,脱硫脱硝,草甘膦,消费金融,乡村振兴,互联网金融,汽车电子,电力改革,石墨电极,蚂蚁金服概念,养老概念,互联网保险,家用电器,阿里巴巴概念,光伏概念,新能源汽车,PM2.5,智能家居,污水处理,广东自贸区,参股民营银行,机器人概念,新零售,冷链物流,能源互联网,京津冀一体化,振兴东北,O2O概念,水泥,大数据,足球概念,债转股,生物质能,高送转,氢燃料电池,医药电商,天然气,创投,中字头股票,租售同权,医疗改革,可燃冰,军民融合,无人驾驶,期货概念,股权转让,稀缺资源,互联网,上海自贸区,高校,OLED,一带一路,网约车,5G,无人机,东盟自贸区,P2P概念,白马股,体育产业,网络直播,互联网医疗,独角兽概念,碳纤维,在线旅游,太阳能,禽流感,融资融券,3D打印,节能环保,充电桩,智能物流,集成电路
2017-09-30,5192.2316,342.5363,41915.9699,15736.9728,7254.3080,0,16342.9918,44405.0324,3871.2658,29773.5245,12378.5750,15870.9317,10920.2373,21731.9774,5192.2316,3595.5200,4448.2530,57718.2103,5340.0699,93.4200,45954.1698,0,0,30333.3109,10542.2669,15431.4547,2423.9561,23066.0719,4205.8437,2125.9758,10661.4222,47277.5223,63636.3568,429.3310,32342.8949,0,505.0414,40615.0340,23188.5060,3284.4784,17121.6626,1154.2123,13019.9422,0,0,222.9900,0,4777.4099,31709.3719,8070.1251,4138.8617,5118.5536,35701.4583,1970.2960,46963.3145,21284.1836,738.9921,6617.1193,0,14166.9563,5113.2227,21575.7664,6865.6219,6314.1665,39.3600,25164.3512,381345.8328,6927.5477,4524.4865,25659.8915,30825.1271,13072.6586,24527.2772,18399.0931,0,15621.5508,6076.1088,538.1564,2270.7987,15870.9317,18295.8112,0,51694.0788,87495.8655,63520.2206,9121.4697,712.6048,8446.4806,18007.7174,1521.6048,4079.5259,27450.5263,0,30150.2461,53175.6575,5143.0145,64818.2815,7080.0323,14106.7578,3.8000,11804.3918,658.4236,447287.5655,10040.1772,1664.4054,19498.9046,26177.8570,4297.6028,684.1229,20294.6598,7523.5636,650.5399,7039.2201,30417.8002,6670.4093,11321.2346,0,505.0414,49988.2355,602975.1239,1139.6884,5456.4450,0,12865.7776,37013.6304,39773.1137,14706.2731,880604.5107,2497.6082,7649.1077,2627.1790,11252.6175,13168.5746,67630.8086,3993.6607,10172.5152,25455.9970,13741.5163,10229.8426,422.6492,12194.3475,86387.8912,37780.9709,58406.5294,3599.3200,23285.1218,3922.1358,1761.7390,20976.9493,5289.9304,3470.4880,1184.9667,21434.7842,18198.6763,8970.2848,10490.6137,384.9911,37979.8444,707.1782,20982.8618,2889.8981,0,46733.5508,2075.9980,62476.0571,25989.3863,96618.6979,33888.8803,59731.2500,74033.7278,28959.6050,9820.9995,53230.6919,36625.0144,18944.0251,111816.1191,28064.9800,170.5370,15883.1912,212442.7932,16179.8529,27851.1508,18290.5401,9936.6208,0,37251.6729,16308.6922,2.2199,23822.0961,1537.0428,11820.3980,6990.4224,27783.1727,6506.8055,894475.0585,12111.0732,28541.8946,22376.0698,10407.6360,1858.7011
2017-12-31,4596.1506,3086.2740,55919.4395,8247.6383,5086.8302,0,19713.3734,44801.6319,2098.4162,41129.3065,13221.3717,14410.8628,7323.8114,29003.1383,4607.2506,5395.6885,7177.7271,47469.3906,3282.5432,0,48607.5187,0,0,26707.2174,10398.4951,13582.3637,1721.9685,8591.2323,3519.5915,2264.4187,6653.1442,28121.1277,84122.1596,66.0781,31890.0741,0,1112.5591,54066.0866,20019.8363,3695.1799,21731.6649,116.8379,2358.3067,0,143.4454,0,0,4889.2492,25681.9215,8474.5309,4303.4065,4886.8699,24840.9238,1336.4503,46475.2768,22937.3877,0,3386.5186,34.2300,14839.7865,946.4830,21657.3577,6524.8475,3888.5172,14.3200,25035.4917,435947.6995,5777.3036,1681.1614,22483.2885,28337.5187,24618.0803,22193.7134,11192.9095,0,3338.4234,3771.6866,10.0000,2529.8418,14285.0394,25242.8379,0,70748.9380,127310.0680,56737.8127,16119.1674,1192.5523,13181.8461,24431.1062,342.7794,4160.0483,30296.0065,0,26029.1495,58823.3626,3730.3783,54575.8147,11311.4838,19096.6974,0,11603.3686,626.1049,462600.0965,30257.7215,1582.0055,10295.9270,29910.3171,1969.3802,609.4722,9635.2978,27416.4911,1258.0576,6963.4635,29082.4708,4934.1802,3614.2996,0,1112.5591,65091.6581,665724.3740,236.6702,1970.5705,4.0223,11935.5297,48327.5394,48251.8092,11788.3613,923153.3306,3303.0049,5592.6151,2305.7856,11448.4051,19129.7839,72278.2665,4214.5302,17359.8901,21070.0362,7213.2796,10121.0492,10.0000,13914.2529,72039.6833,43745.4595,61992.1495,5269.8651,22934.2032,479.6782,794.4119,32778.1638,7294.1991,4092.5332,303.9744,21806.1865,27812.0649,2927.0407,11013.9789,49.6500,49686.3826,353.3880,20218.0424,2314.5033,0,46188.7099,3630.7852,50172.3441,23447.9562,79424.4637,67170.6241,71472.1262,66844.0007,43274.1242,4601.1182,58006.0398,27307.3484,19495.2502,124367.6312,42703.1216,1719.2589,19449.0444,199786.9064,17332.0064,26238.2302,13224.1686,5251.2992,3.8300,41095.3322,11546.2975,0,28176.9275,16453.1230,12175.2893,6329.7829,33689.7722,12788.1096,956116.7673,37497.5453,25273.1170,25603.4874,11292.9310,95.8926
2018-03-31,1316.3091,4178.5081,47525.4757,11580.7361,8159.0470,0,20987.3387,31676.0900,3857.6794,44011.0281,21243.7285,13919.1870,4998.6924,29824.1167,1335.3927,2680.7621,10086.0226,102918.6809,4295.5546,0,42859.8351,0,0,18682.5904,10614.7770,8979.4348,810.1312,12563.7327,1664.0695,4288.1780,8870.9385,17774.4868,70533.6088,579.9726,20752.9175,0,3132.4370,65234.8721,25413.7300,360.0478,23904.6075,1912.2802,815.7035,0,0,0,0,9863.6359,27950.1630,7015.8281,3859.7484,3789.6993,37461.7230,1027.3652,30324.0554,30309.6353,0,5950.6479,506.6852,11959.2153,957.5594,14377.9285,5171.7470,5927.7337,0,17765.6087,479649.1168,5126.6588,373.6046,30301.6171,21434.5434,15260.2713,23574.3733,11500.7529,0,1563.2589,5557.4709,0,1488.7276,13794.3636,25261.3621,0,63075.8986,127194.9941,113238.2188,14396.0315,3199.3302,9306.6707,22431.3141,217.7512,2820.2140,27006.2955,0,26065.1313,50696.2962,3007.6160,105146.7046,11855.9940,13606.8414,0,10224.8143,473.0489,525060.5163,34538.8577,2385.1586,17813.5349,27510.8609,1816.4189,794.0834,7817.0134,28545.1239,3132.4370,11018.9096,19902.8626,360.0478,2677.4972,0,3132.4370,57737.4588,718167.6784,215.7744,2598.2190,2.8841,19463.3372,46219.6342,40156.0595,11094.4287,956929.2671,4384.7275,3333.2687,1556.9028,9763.8299,15952.9343,46998.0001,4426.3684,15465.8396,13472.3818,4095.7012,7303.0339,1646.9702,14735.5848,129809.1330,34941.6946,50735.5626,2555.9387,21483.3661,167.5070,288.4730,42842.2803,5003.5640,7381.7654,265.3100,17109.4906,26399.7419,3520.9353,7834.5245,1349.7035,38579.1767,1200.4264,10226.4254,2292.9648,0,43771.7901,3959.7624,104630.9442,11736.3851,119177.2279,80470.7123,79438.9289,112373.5177,39999.8471,5467.7448,45441.2390,28467.3742,16273.1659,103888.9207,44447.7213,1749.0889,20007.8535,240591.7632,17972.8717,18621.2365,8595.9616,10993.4261,0.0500,42569.7290,12688.4925,12.2200,25357.4017,7357.8812,20869.7534,4523.2860,25007.0391,14918.6040,992979.0137,40870.5430,19301.5505,18455.6293,11547.2926,58.9600
2018-06-30,286.4602,7157.5633,43523.5931,15582.2813,6385.6864,0,21463.8245,25921.4842,2884.0113,48167.8759,26969.4946,17952.1865,5660.6342,24149.2622,294.4402,2021.0346,6528.0454,56683.3811,4008.1375,0,58600.8728,0,0,27095.0913,11119.9706,4712.2659,996.2726,16654.4091,77.9378,11943.3866,12366.1853,11467.0756,74425.5255,1179.5806,23405.8774,0,10282.0070,58349.7429,34362.4698,218.0695,29524.1670,527.2618,847.3834,0,0,0,0,19540.4663,39387.6816,4297.1031,2244.7332,1881.1550,38425.2396,93.1151,29603.7703,33355.2569,31.7300,1141.6293,274.1500,9600.2235,1235.3152,9666.7165,5818.0052,6739.9891,0,11788.9509,347289.0625,1535.1876,1769.6508,9401.9427,16816.9315,17251.4874,24533.7109,17855.7586,0,1047.4122,6163.4164,0,1432.4789,17952.1865,25077.8002,0,72869.5518,125621.7629,63459.5848,4094.4991,10282.0070,5423.3396,24381.4352,333.2484,4306.4746,23907.6811,0.7300,25630.8771,29539.1122,3409.4585,62500.7953,16384.1408,19960.7811,0.7300,6186.9545,599.4427,431958.4598,43079.9292,1631.6183,24090.2727,24240.4922,2039.8289,1246.6697,6696.0227,32708.5399,10290.1670,9511.1678,14325.8374,733.3461,2066.0649,0,10282.0070,65535.6264,496267.2439,515.0939,2102.1271,13.1849,5011.5085,47998.7327,54359.1681,12449.8817,715711.9116,3852.4988,2167.1490,2348.5624,14227.9822,6444.5571,11949.0430,2835.5632,19261.3149,13208.0148,5198.7588,7282.8029,0,16816.8638,84854.1207,18578.8065,44669.9118,2021.0346,24202.7069,1029.7204,1393.0798,73584.3668,141.7092,15168.9056,1688.4066,14193.7838,24941.4278,5133.1589,6798.7387,0,37584.8768,777.2793,14137.3909,2678.7134,0,47201.3259,3961.9867,62199.3394,15636.5717,66267.2197,82502.3952,64184.4975,69988.0566,59269.8300,6156.2064,45150.5452,34334.7049,13906.3205,109101.8372,59362.5587,1725.2089,14242.7780,193359.5854,25109.7498,13678.0483,4518.1143,15582.2813,8.6846,40519.2247,18634.2579,9.8000,21887.3562,2738.5920,25626.0745,3323.0649,10094.6332,13586.2093,766198.3436,48994.7866,21527.5028,15570.1865,16329.4805,202.3000
2018-09-30,0,0,0,0,0,0,0,12455.9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12455.9259,0,0,0,0,0,0,0,0,0,0,0,81037.2789,4801.4672,0,0,0,0,4801.4672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85353.8345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12455.9259,195092.4719,0,0,0,0,0,0,0,195092.4719,0,0,0,0,0,19460.2556,0,0,12455.9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16895.5616,0,0,0,0,0,0,12455.9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195092.4719,0,0,0,0,0
