RecordDate,装配式建筑,分散染料,生物医药,水利,工业互联网,微信小程序,网络游戏,国产航母,文化传媒,通用航空,金改,参股万达商业,空铁WIFI,二胎概念,杭州亚运会,美丽中国,赛马概念,两桶油改革,智能穿戴,电子竞技,人工智能,摘帽,智能音箱,新疆振兴,建筑节能,超导,福建自贸区,高铁,航运,人脸识别,粤港澳大湾区,锂电池,工业4.0,啤酒,参股新三板,北汽新能源,电子发票,雄安新区,特斯拉,海工装备,健康中国,国产软件,供应链金融,基因测序,新股与次新股,燃料乙醇,语音技术,腾讯概念,上海国资改革,芯片概念,苹果概念,卫星导航,PPP概念,土地流转,核电,智慧城市,蓝宝石,地下管网,中韩自贸区,,特钢,量子通信,氟化工,百度概念,在线教育,宽带中国,央企国资改革,白酒,固废处理,小金属,智能电网,区块链,超级品牌,自由贸易港,富士康概念,物流电商平台,智能交通,生态农业,举牌,宁德时代概念,细胞免疫治疗,无线充电,军工,参股券商,页岩气,农村电商,金融IC,石墨烯,风电,参股360,送转填权,医疗器械,油品升级,物联网,新材料概念,安防,油品改革,网络安全,煤化工,尾气治理,黄金,深圳国资改革,证金持股,迪士尼,互联网彩票,参股保险,民营医院,节能照明,乳业,车联网,跨境电商,食品安全,特色小镇,特高压,ST板块,智能医疗,天津自贸区,二维码识别,电子商务,MSCI概念,手机游戏,虚拟现实,职业教育,稀土永磁,大飞机,高端装备,移动支付,沪股通,云计算,脱硫脱硝,草甘膦,消费金融,乡村振兴,互联网金融,汽车电子,电力改革,石墨电极,蚂蚁金服概念,养老概念,互联网保险,家用电器,阿里巴巴概念,光伏概念,新能源汽车,PM2.5,智能家居,污水处理,广东自贸区,参股民营银行,机器人概念,新零售,冷链物流,能源互联网,京津冀一体化,振兴东北,O2O概念,水泥,大数据,足球概念,债转股,生物质能,高送转,氢燃料电池,医药电商,天然气,创投,中字头股票,租售同权,医疗改革,可燃冰,军民融合,无人驾驶,期货概念,股权转让,稀缺资源,互联网,上海自贸区,高校,OLED,一带一路,网约车,5G,无人机,东盟自贸区,P2P概念,白马股,体育产业,网络直播,互联网医疗,独角兽概念,碳纤维,在线旅游,太阳能,禽流感,融资融券,3D打印,节能环保,充电桩,智能物流,集成电路
2017-09-30,6.6668,0.3799,108.9431,15.7236,3.3036,0,26.7769,66.3168,6.0572,45.7629,9.4939,47.9147,8.1027,61.6892,6.6668,6.0834,3.8079,34.0588,13.0660,0.1476,77.8325,0,0,30.3185,43.9248,16.8461,2.3311,15.7659,3.8330,4.7818,10.6079,58.7255,54.2593,0.9476,36.0947,0,0.9500,56.9012,29.1114,7.4774,34.1446,1.6554,5.6591,0,0,0.2232,0,5.8631,58.5968,21.6682,8.2511,14.2961,52.5710,1.7183,31.1910,46.9769,0.7233,7.5346,0,15.5125,6.3827,34.5781,4.7022,2.3885,0.0562,46.6859,575.5446,242.0243,3.4814,41.0006,50.0100,10.6395,292.7427,15.7751,0,8.6498,3.0707,0.5015,2.2948,47.9147,59.8006,0,94.0049,107.5067,37.1577,8.6017,1.2917,11.6449,21.6111,1.7728,9.3377,76.1035,0,37.3312,100.3519,8.8721,38.3588,21.0040,14.6632,0.0095,17.4348,0.6349,587.6791,24.0927,2.4493,16.1557,74.5381,3.5142,4.3074,15.6731,8.1835,1.2371,21.8801,47.4246,10.1468,11.7556,0,0.9500,59.8670,1135.2895,2.4652,7.9490,0,18.3943,46.9839,65.5666,12.1062,1559.3470,3.3786,10.7483,6.3174,10.7353,15.8990,94.8688,7.9470,7.0846,20.8340,12.7384,17.3077,0.8397,19.1573,109.2061,35.9112,120.8403,6.0929,27.4680,2.9111,1.3511,17.6852,6.7985,3.9049,1.3548,38.1109,44.0161,9.1568,23.3633,0.4888,62.1752,1.0709,14.2962,4.8478,0,125.9835,5.9710,37.0250,20.6244,99.8016,35.2822,157.3763,42.3311,40.6225,6.5260,88.7527,55.8766,30.4320,122.7503,37.3514,0.2080,34.3344,199.0518,48.2167,50.6024,33.6786,10.2118,0,116.3310,11.5083,0.0015,70.8321,1.2366,13.5253,17.9150,28.2971,13.6324,1537.8252,13.8888,39.3023,38.6555,8.6753,2.0020
2017-12-31,4.8572,3.6101,165.3092,6.9297,2.5180,0,29.9151,78.8545,2.8138,63.9999,8.6354,45.8279,4.6357,99.0064,4.8648,9.1756,4.8964,29.0991,11.5125,0,78.1298,0,0,22.8622,34.6786,15.4712,1.4306,6.0072,3.1257,4.9403,6.0892,46.0723,89.1293,0.1378,27.5208,0,2.3964,76.8838,23.4454,8.6732,41.7216,0.1878,0.8778,0,0.0760,0,0,6.1844,53.4086,34.0010,6.8098,12.0699,41.8229,0.7614,33.0755,62.7029,0,3.2008,0.0133,13.0719,1.1946,47.3260,4.0757,1.4790,0.0168,56.9786,707.1597,310.1361,1.1512,35.7757,59.8516,16.3549,361.2382,7.4433,0,2.4018,2.3533,0.0078,2.3888,45.7691,105.9522,0,133.7201,165.6361,33.9580,19.5202,2.4998,24.7919,25.9151,0.3812,7.3887,114.8792,0,47.0276,107.2700,6.1094,32.9343,38.0943,25.9699,0,20.2451,0.5622,644.6004,43.8845,2.0328,10.9775,111.9445,1.8287,2.7731,7.4453,24.9012,2.6394,21.9088,60.2200,9.0328,8.4892,0,2.3964,73.0408,1391.6171,0.3807,2.5667,0.0024,15.1455,61.6420,74.0799,8.9823,1815.9907,3.7834,9.4748,6.6261,10.7562,26.4418,90.7979,6.6541,9.7311,20.3853,6.6762,17.8243,0.0151,20.8991,97.2858,54.6812,137.2265,9.1168,27.1970,0.3772,0.5727,30.0446,9.0330,5.2354,0.3287,51.6166,63.2938,4.5959,23.8781,0.0563,80.0465,0.4641,10.2348,3.3415,0,157.3704,10.9242,30.7751,14.1825,86.3577,95.0460,214.8494,38.2604,62.7857,2.1929,77.1282,43.6735,31.7903,137.0917,53.1496,1.6793,43.1900,220.9373,49.3370,59.4534,22.9449,4.3061,0.0049,121.7274,7.9074,0,109.3990,10.3147,13.9031,15.0458,38.8624,29.6845,1816.2595,34.7000,36.6868,54.9771,8.4932,0.1549
2018-03-31,1.2030,4.6635,145.7967,10.1347,3.7985,0,32.6473,62.2869,5.3626,77.8722,12.7516,46.9715,2.8841,99.0290,1.2154,3.7839,7.9171,66.6911,24.3447,0,84.5262,0,0,15.6681,32.9763,8.7124,0.6854,10.7005,1.0836,10.7818,11.4906,31.0178,72.9967,1.2521,20.7094,0,7.9218,88.5488,19.4977,0.6864,54.1154,2.9630,0.2994,0,0,0,0,16.0823,56.0317,25.6560,6.8775,8.5938,60.9849,0.7012,21.7085,74.6746,0,6.4074,0.1914,9.8031,1.5564,31.5456,2.9155,1.7715,0,41.2071,713.8957,310.8943,0.2519,26.8391,44.8771,16.0061,370.2460,8.1108,0,1.6670,1.7129,0,1.3340,46.9140,106.6179,0,109.8588,155.1213,71.8886,15.2886,8.0080,17.9787,18.4743,0.2436,7.5998,106.7760,0,43.5981,90.5527,5.0242,67.5547,35.3191,19.2158,0,15.2516,0.3968,675.5327,46.0878,3.0702,15.2735,105.0242,1.9280,3.5083,3.4533,22.5604,7.9218,35.1662,40.9205,0.6864,5.9473,0,7.9218,75.7298,1458.5995,0.3328,3.3961,0.0060,10.1877,59.2040,58.5453,9.3626,1839.5542,5.1930,4.4519,5.1055,9.0327,20.3941,73.4430,7.5742,9.9459,13.3374,3.9372,13.4551,2.6489,22.7958,139.4179,40.1344,109.7837,3.7264,27.5059,0.1029,0.2210,31.9896,5.1698,12.3624,0.3141,37.6551,66.8408,5.5728,18.2267,1.1985,66.2511,1.9544,5.4816,3.5242,0,147.7214,12.0721,67.6009,6.9624,93.0502,108.4163,267.0546,70.8393,47.7093,1.3848,74.1951,51.5065,24.5793,125.8244,54.0455,1.8260,51.2228,212.4036,51.5775,42.6314,14.6390,9.6413,0.0001,124.9311,10.0534,0.0104,101.8518,10.1449,16.4202,11.6027,25.7254,30.8623,1845.7515,35.1581,30.3158,37.9163,9.1671,0.0946
2018-06-30,0.1372,8.5533,118.9770,11.2346,1.4610,0,28.3412,43.5048,3.2293,66.7959,13.9882,62.8054,2.7849,78.5673,0.1420,2.5815,6.2731,36.7887,29.1870,0,117.4592,0,0,19.3579,44.1352,3.2912,0.6303,11.6770,0.0827,27.5865,16.6907,13.2012,61.0239,3.2660,16.4695,0,25.9822,58.9183,23.0598,0.2113,61.8598,0.8248,0.2296,0,0,0,0,36.6122,74.5499,8.8607,2.4372,3.5744,48.5995,0.0551,18.2377,63.5895,0.0217,0.8032,0.0880,11.0263,1.1109,11.4523,2.9511,1.7170,0,16.7004,398.0143,4.0479,1.9120,11.2378,23.3820,29.2679,83.2861,10.6419,0,0.6489,1.3079,0,1.0600,62.8054,92.4087,0,91.9609,134.0357,39.0754,2.8253,25.9822,8.1767,16.0522,0.2995,4.9971,89.8162,0.0007,41.0399,61.4671,3.1804,39.1845,36.8101,27.0124,0.0007,9.4776,0.4705,620.0783,61.4867,1.6880,14.6610,85.1831,1.6760,2.3669,1.7512,21.9503,25.9885,24.4915,20.8867,0.4524,7.8355,0,25.9822,79.1282,709.7095,0.6427,2.2917,0.0060,4.6064,50.4557,66.4572,9.8884,1026.4991,3.9907,2.7041,10.0470,10.1651,12.8728,25.8895,2.9801,11.1088,11.4345,5.8259,13.8331,0,22.5764,122.4518,15.6535,94.6224,2.5815,26.8760,1.5344,1.0676,59.4574,0.1239,31.3849,1.4224,20.7696,53.0873,4.7778,16.8380,0,58.2571,0.9390,6.7706,2.0590,0,146.0680,12.9454,40.1921,7.7860,46.7594,100.6531,159.7705,42.6694,58.2895,1.2567,70.6500,43.5251,19.1509,121.1652,72.7316,1.5147,28.5802,147.7793,71.3587,19.1860,6.9403,11.2346,0.0085,101.2637,11.5814,0.0079,82.1035,4.1289,15.5556,8.0039,7.1915,25.9312,1046.0851,32.2760,28.2961,20.6664,11.9091,0.1578
2018-09-30,0,0,0,0,0,0,0,9.7030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7030,0,0,0,0,0,0,0,0,0,0,0,191.0314,351.1955,0,0,0,0,351.1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7030,739.8551,0,0,0,0,0,0,0,739.8551,0,0,0,0,0,18.6029,0,0,9.7030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.9967,0,0,0,0,0,0,9.7030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739.8551,0,0,0,0,0
